Name,Mileage (Mi.),Dealer Name,Price ($),Rating,Rating_Count
2018 Mercedes-Benz E-Class E 400 4MATIC,"31,223 ",Mercedes-Benz of Fort Lauderdale,"50,892",4.6,963 
2020 Mercedes-Benz AMG C 43 Base 4MATIC,"11,284 ",Mercedes-Benz of Stevens Creek,"60,981",4.7,"1,271 "
2019 Mercedes-Benz S-Class S 560 4MATIC,"19,614 ",Mercedes-Benz of Catonsville,"102,990",4.2,360 
2020 Mercedes-Benz C-Class C 300,"48,458 ",W.I. Simonson Inc.,"33,488",4.6,761 
2020 Mercedes-Benz AMG E 63 S 4MATIC,"14,966 ",RBM of Atlanta,"114,320",4.9,997 
2021 Mercedes-Benz GLC 300 Base,"5,860 ",Mercedes-Benz of Encino,"45,998",3.4,77 
2018 Mercedes-Benz E-Class E 300,"11,395 ",Mercedes-Benz of Burlington,"44,990",4.7,249 
2018 Mercedes-Benz GLE 350 Base,"35,733 ",Mercedes-Benz of Arcadia,"40,499",4.8,"1,079 "
2018 Mercedes-Benz GLS 450 Base 4MATIC,"26,061 ",Fletcher Jones Motorcars,"58,892",4.8,"4,719 "
2019 Mercedes-Benz E-Class E 450,"26,059 ",Bobby Rahal Motorcar Company,"52,440",4.5,103 
2020 Mercedes-Benz GLE 350 Base 4MATIC,"15,912 ",Mercedes-Benz of Hanover,"61,465",4.6,443 
2017 Mercedes-Benz SL 450 Base,"5,878 ",Mercedes-Benz of North Scottsdale,"80,988",4.9,"1,071 "
2018 Mercedes-Benz GLC 300 Base,"49,383 ",RBM of Atlanta,"35,786",4.9,997 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"18,780 ",Mercedes-Benz of Pleasanton,"42,928",2.5,46 
2019 Mercedes-Benz GLA 250 Base 4MATIC,"29,614 ",Mercedes-Benz of Chesterfield,"31,519",4.5,95 
2017 Mercedes-Benz E-Class E 300,"18,372 ",Mercedes-Benz of Springfield,"39,991",4.9,71 
2015 Mercedes-Benz S-Class S 550,"21,355 ",Star Motor Cars,"55,880",3.9,52 
2018 Mercedes-Benz S-Class S 450 4MATIC,"25,164 ",Mercedes-Benz of Arlington,"67,995",4.8,"2,171 "
2018 Mercedes-Benz GLC 300 Base 4MATIC,"36,838 ",Mercedes-Benz of Stevens Creek,"33,995",4.7,"1,271 "
2019 Mercedes-Benz E-Class E 450,"3,522 ",Bobby Rahal Motorcar Company,"56,550",4.5,103 
2018 Mercedes-Benz GLS 450 Base 4MATIC,"35,171 ",Mercedes-Benz of Ontario,"56,988",4.9,"1,741 "
2018 Mercedes-Benz GLC 300 Base 4MATIC,"11,269 ",Mercedes-Benz of Rochester,"40,987",4.7,73 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"32,573 ",Mercedes-Benz of Tysons Corner,"42,995",4.4,686 
2021 Mercedes-Benz GLC 300 Base,"4,222 ",Mercedes-Benz of South Bay,"44,777",4.6,973 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"13,180 ",Mercedes-Benz of Hanover,"45,760",4.6,443 
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"19,670 ",Mercedes-Benz of Fort Lauderdale,"69,910",4.6,963 
2019 Mercedes-Benz GLC 300 Base 4MATIC,"19,554 ",Mercedes-Benz of Loveland,"37,499",4.9,604 
2016 Mercedes-Benz S-Class S 550,"52,790 ",Mercedes-Benz of North Scottsdale,"54,988",4.9,"1,071 "
2018 Mercedes-Benz E-Class E 300,"13,655 ",Silver Star Motors,"42,783",4.6,665 
2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,"20,838 ",Autohaus on Edens,"51,997",4.7,"1,454 "
2018 Mercedes-Benz GLE 350 Base 4MATIC,"22,587 ",Mercedes-Benz of McKinney,"43,898",4.4,316 
2017 Mercedes-Benz C-Class C 300,"38,693 ",Mercedes-Benz of Nashville,"26,999",4.7,796 
2019 Mercedes-Benz GLC 350e Base 4MATIC,"15,521 ",Mercedes-Benz of Walnut Creek,"38,488",4.6,810 
2018 Mercedes-Benz C-Class C 300 4MATIC,"29,699 ",Mercedes-Benz of West Chester,"32,755",4.6,"1,559 "
2018 Mercedes-Benz GLE 350 Base,"35,327 ",Mercedes-Benz of Foothill Ranch,"40,105",4.7,508 
2019 Mercedes-Benz E-Class E 300,"61,409 ",Mercedes-Benz of South Bay,"37,688",4.6,973 
2018 Mercedes-Benz GLS 450 Base 4MATIC,"35,179 ",Mercedes-Benz of Buckhead,"62,000",4.7,909 
2018 Mercedes-Benz C-Class C 300,"36,042 ",Mercedes-Benz of South Bay,"29,691",4.6,973 
2017 Mercedes-Benz C-Class C 300,"36,508 ",Mercedes-Benz of Walnut Creek,"25,887",4.6,810 
2018 Mercedes-Benz E-Class E 300,"30,750 ",W.I. Simonson Inc.,"41,688",4.6,761 
2018 Mercedes-Benz E-Class E 300,"19,968 ",Mercedes-Benz of Rocklin,"50,975",4.5,"2,538 "
2020 Mercedes-Benz S-Class S 560 4MATIC,"10,076 ",Mercedes Benz of Hoffman Estates,"109,999",4.7,"1,018 "
2018 Mercedes-Benz CLA 250 Base,"17,580 ",Mercedes-Benz of Stevens Creek,"28,792",4.7,"1,271 "
2019 Mercedes-Benz AMG S 63 Base 4MATIC,"37,938 ",Mercedes-Benz of Monterey,"122,987",4.6,58 
2018 Mercedes-Benz GLS 450 Base 4MATIC,"58,225 ",W.I. Simonson Inc.,"47,688",4.6,761 
2019 Mercedes-Benz GLS 450 Base 4MATIC,"34,851 ",Mercedes-Benz of Pleasanton,"60,018",2.5,46 
2018 Mercedes-Benz C-Class C 300,"30,056 ",Mercedes-Benz of Anaheim,"31,198",4.9,"1,650 "
2018 Mercedes-Benz E-Class E 400 4MATIC,"34,211 ",Mercedes-Benz of Massapequa,"47,695",4.8,"1,520 "
2020 Mercedes-Benz S-Class S 560 4MATIC,"4,554 ",Mercedes Benz of Hoffman Estates,"113,999",4.7,"1,018 "
2018 Mercedes-Benz E-Class E 400 4MATIC,"28,137 ",Benzel-Busch Motor Car,"59,537",4.8,"4,090 "
2020 Mercedes-Benz GLE 350 Base 4MATIC,"17,669 ",Mercedes-Benz of San Francisco / Smart Center San Francisco,"59,970",4.0,59 
2020 Mercedes-Benz GLE 350 Base 4MATIC,"17,303 ",Mercedes-Benz of Springfield,"59,991",4.9,71 
2018 Mercedes-Benz C-Class C 300 4MATIC,"33,360 ",Sears Imported Autos,"33,754",4.9,"1,605 "
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"30,334 ",Mercedes-Benz of Westwood,"68,991",4.6,536 
2017 Mercedes-Benz GLS 450 Base 4MATIC,"37,836 ",Mercedes-Benz of Fredericksburg,"49,500",4.6,263 
2018 Mercedes-Benz S-Class S 450 4MATIC,"34,176 ",Silver Star Motors,"63,994",4.6,665 
2020 Mercedes-Benz GLE 350 Base,"16,183 ",Mercedes-Benz of Plano,"63,000",4.4,986 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"38,742 ",Mercedes-Benz of Walnut Creek,"36,999",4.6,810 
2018 Mercedes-Benz GLC 300 4MATIC,"12,437 ",Mercedes-Benz of Westwood,"39,576",4.6,536 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"10,593 ",Autohaus on Edens,"48,341",4.7,"1,454 "
2018 Mercedes-Benz C-Class C 300 4MATIC,"21,043 ",Euro Motorcars Devon,"34,754",4.7,294 
2020 Mercedes-Benz GLC 300 Base,"11,820 ",Mercedes-Benz of Clearwater,"42,577",4.5,311 
2017 Mercedes-Benz GLE 350 Base 4MATIC,"18,210 ",Mercedes-Benz of Tysons Corner,"41,495",4.4,686 
2018 Mercedes-Benz E-Class E 300,"15,190 ",Keenan Motors,"44,891",4.8,443 
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"39,850 ",Mercedes-Benz of Owings Mills,"66,900",4.9,"1,947 "
2018 Mercedes-Benz GLC 300 Base 4MATIC,"28,208 ",Mercedes-Benz of Rochester,"38,459",4.7,73 
2020 Mercedes-Benz C-Class C 300,"18,031 ",Mercedes-Benz of Ontario,"41,488",4.9,"1,741 "
2018 Mercedes-Benz C-Class C 300,"23,737 ",Mercedes-Benz of Walnut Creek,"28,999",4.6,810 
2020 Mercedes-Benz GLB 250 Base 4MATIC,"10,666 ",Mercedes-Benz Of Tacoma,"45,000",4.5,"2,532 "
2015 Mercedes-Benz S-Class S 63 AMG,"19,960 ",Euro Motorcars Devon,"80,971",4.7,294 
2018 Mercedes-Benz C-Class C 300 4MATIC,"17,171 ",Mercedes-Benz of Pompano,"36,998",4.5,831 
2018 Mercedes-Benz C-Class C 300 4MATIC,"14,749 ",Mercedes-Benz of Lynnwood,"34,995",4.5,102 
2018 Mercedes-Benz GLE 350 Base,"17,928 ",Mercedes-Benz of Pompano,"45,995",4.5,831 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"12,445 ",RBM of Atlanta,"46,986",4.9,997 
2018 Mercedes-Benz C-Class C 300 4MATIC,"20,843 ",Mercedes-Benz of Miami,"36,715",4.6,790 
2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,"55,963 ",Mercedes-Benz of Plano,"66,000",4.4,986 
2019 Mercedes-Benz C-Class C 300 4MATIC,"19,804 ",Mercedes-Benz of Tysons Corner,"42,995",4.4,686 
2020 Mercedes-Benz S-Class S 560 4MATIC,"13,908 ",Motor Werks - Barrington Auto Mall,"113,987",4.8,"4,450 "
2018 Mercedes-Benz GLC 300 Base 4MATIC,"22,683 ",Walter's Mercedes-Benz of Riverside,"36,988",4.9,"5,669 "
2018 Mercedes-Benz C-Class C 300,"19,665 ",Mercedes-Benz of Plano,"33,000",4.4,986 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"31,884 ",Mercedes-Benz of Indianapolis,"45,823",4.3,76 
2018 Mercedes-Benz C-Class C 300 4MATIC,"23,875 ",Sears Imported Autos,"32,561",4.9,"1,605 "
2020 Mercedes-Benz E-Class E 350,"11,529 ",Mercedes-Benz of San Antonio,"51,977",4.8,"1,295 "
2020 Mercedes-Benz GLB 250 Base 4MATIC,"11,932 ",Mercedes-Benz Of Tacoma,"44,000",4.5,"2,532 "
2019 Mercedes-Benz C-Class C 300,"18,874 ",Mercedes-Benz Of Athens,"43,995",4.7,251 
2019 Mercedes-Benz AMG GT 53 Base,"19,176 ",Mercedes-Benz of Miami,"96,995",4.6,790 
2019 Mercedes-Benz GLC 300 Base 4MATIC,"35,069 ",Mercedes-Benz of Littleton,"35,999",4.8,992 
2018 Mercedes-Benz E-Class E 300,"18,484 ",Mercedes-Benz of Plano,"45,500",4.4,986 
2020 Mercedes-Benz A-Class A 220,"12,257 ",Mercedes-Benz of Laredo,"34,990",4.6,7 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"62,575 ",Mercedes-Benz of Springfield,"36,992",4.9,71 
2018 Mercedes-Benz C-Class C 300,"35,688 ",Mercedes-Benz Of Henderson,"36,991",4.9,"1,450 "
2018 Mercedes-Benz GLE 350 Base 4MATIC,"21,785 ",Mercedes-Benz of Owings Mills,"45,900",4.9,"1,947 "
2018 Mercedes-Benz C-Class C 300 4MATIC,"11,541 ",Mercedes-Benz of West Chester,"34,755",4.6,"1,559 "
2017 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,"51,107 ",House of Imports,"58,495",4.7,940 
2020 Mercedes-Benz AMG C 43 Base 4MATIC,"13,871 ",Mercedes-Benz of Plano,"61,500",4.4,986 
2018 Mercedes-Benz S-Class S 450 4MATIC,"18,386 ",Mercedes-Benz of Edison,"69,995",4.9,"2,067 "
2018 Mercedes-Benz C-Class C 300,"31,652 ",Mercedes-Benz of Scottsdale,"32,991",4.8,443 
2018 Mercedes-Benz S-Class S 560,"19,572 ",Mercedes-Benz of North Scottsdale,"84,788",4.9,"1,071 "
2018 Mercedes-Benz C-Class C 300 4MATIC,"14,933 ",Mercedes-Benz of Eugene,"37,928",4.0,16 
2019 Mercedes-Benz S-Class S 450 4MATIC,"21,581 ",Mercedes-Benz of Chesterfield,"72,859",4.5,95 
2018 Mercedes-Benz AMG GT C,"14,976 ",Mercedes-Benz of Fort Lauderdale,"127,900",4.6,963 
2020 Mercedes-Benz GLE 350 Base 4MATIC,"12,042 ",Mercedes-Benz Of Tacoma,"63,500",4.5,"2,532 "
2019 Mercedes-Benz GLS 550 Base 4MATIC,"39,045 ",Mercedes-Benz of Sarasota,"71,991",4.6,"1,103 "
2018 Mercedes-Benz S-Class S 560 4MATIC,"10,206 ",Mercedes-Benz of Fort Lauderdale,"88,992",4.6,963 
2018 Mercedes-Benz C-Class C 300 4MATIC,"21,408 ",Mercedes-Benz of West Chester,"33,633",4.6,"1,559 "
2019 Mercedes-Benz C-Class C 300 4MATIC,"10,128 ",Jackie Cooper Imports,"40,448",4.9,"2,620 "
2018 Mercedes-Benz E-Class E 300,"16,925 ",Mercedes-Benz of Westwood,"44,998",4.6,536 
2018 Mercedes-Benz E-Class E 300,"15,166 ",Mercedes-Benz of Austin,"42,999",4.8,"1,106 "
2018 Mercedes-Benz AMG C 43 Base 4MATIC,"13,976 ",Mercedes-Benz of Fort Lauderdale,"49,995",4.6,963 
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"14,342 ",Mercedes-Benz of Orlando,"74,490",4.7,792 
2018 Mercedes-Benz E-Class E 300,"19,868 ",Mercedes-Benz of Easton,"44,999",4.7,644 
2016 Mercedes-Benz S-Class S 550,"65,884 ",Mercedes-Benz of Plano,"52,000",4.4,986 
2020 Mercedes-Benz AMG G 63 Base,"12,683 ",RBM of Atlanta,"228,345",4.9,997 
2019 Mercedes-Benz GLS 450 Base 4MATIC,"30,004 ",Mercedes-Benz of South Orlando,"58,887",4.7,"1,023 "
2017 Mercedes-Benz S-Class S 550 4MATIC,"11,151 ",Mercedes-Benz of Chicago,"85,981",4.7,"1,045 "
2018 Mercedes-Benz C-Class C 300,"17,509 ",Mercedes-Benz of North Orlando,"32,490",4.6,371 
2018 Mercedes-Benz GLE 350 4MATIC,"37,824 ",Mercedes-Benz of Westwood,"42,419",4.6,536 
2020 Mercedes-Benz GLE 350 Base 4MATIC,"18,927 ",Mercedes Benz of Hoffman Estates,"57,999",4.7,"1,018 "
2019 Mercedes-Benz SLC 300 Base,"15,140 ",Mercedes-Benz of Fort Mitchell,"54,721",4.9,314 
2018 Mercedes-Benz C-Class C 300,"20,953 ",Mercedes-Benz of Walnut Creek,"35,999",4.6,810 
2018 Mercedes-Benz E-Class E 300,"23,922 ",Mercedes-Benz of Silver Spring,"46,900",4.8,"1,457 "
2018 Mercedes-Benz E-Class E 300,"23,185 ",Mercedes-Benz of Fresno,"45,998",4.8,498 
2020 Mercedes-Benz GLA 250 Base 4MATIC,"11,676 ",Mercedes-Benz of Westmont,"40,250",4.6,593 
2021 Mercedes-Benz GLB 250 Base,"10,835 ",Mercedes-Benz of Tuscaloosa,"44,328",4.5,14 
2018 Mercedes-Benz GLE 350 Base,"13,106 ",RBM of Atlanta,"46,258",4.9,997 
2018 Mercedes-Benz GLS 450 Base 4MATIC,"44,243 ",Mercedes-Benz of Pleasanton,"53,971",2.5,46 
2018 Mercedes-Benz C-Class C 300 4MATIC,"17,929 ",Mercedes-Benz of Bellevue,"34,399",4.5,548 
2018 Mercedes-Benz C-Class C 300,"38,105 ",Mercedes-Benz of Pembroke Pines,"30,495",4.6,799 
2020 Mercedes-Benz E-Class E 350,"12,818 ",Mercedes-Benz of Clearwater,"53,148",4.5,311 
2018 Mercedes-Benz GLE 350 4MATIC,"37,494 ",Mercedes-Benz of Westwood,"43,000",4.6,536 
2016 Mercedes-Benz E-Class E 350 4MATIC,"37,612 ",Mercedes-Benz of Alexandria,"36,884",4.8,989 
2020 Mercedes-Benz GLC 300 Base 4MATIC,"14,418 ",Mercedes-Benz of Easton,"47,830",4.7,644 
2020 Mercedes-Benz GLC 300 Base 4MATIC,"10,879 ",Mercedes-Benz of Hunt Valley,"43,799",4.4,366 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"21,145 ",Feldmann Imports,"42,349",4.8,615 
2018 Mercedes-Benz E-Class E 300,"21,998 ",Mercedes-Benz of Clearwater,"46,057",4.5,311 
2020 Mercedes-Benz S-Class S 560 4MATIC,"9,899 ",Mercedes Benz of Hoffman Estates,"107,999",4.7,"1,018 "
2018 Mercedes-Benz GLE 350 Base,"49,579 ",Mercedes-Benz of Gilbert,"39,987",4.6,274 
2018 Mercedes-Benz E-Class E 300,"19,735 ",Mercedes-Benz of San Francisco / Smart Center San Francisco,"41,970",4.0,59 
2018 Mercedes-Benz GLS 450 Base 4MATIC,"47,720 ",W.I. Simonson Inc.,"49,499",4.6,761 
2019 Mercedes-Benz AMG C 63 S,"34,728 ",Mercedes-Benz of South Orlando,"74,888",4.7,"1,023 "
2018 Mercedes-Benz GLE 350 ,"37,778 ",Mercedes-Benz of Birmingham,"41,685",4.9,755 
2019 Mercedes-Benz S-Class S 450 4MATIC,"24,866 ",Mercedes-Benz of Chesterfield,"73,999",4.5,95 
2018 Mercedes-Benz C-Class C 300,"31,874 ",Mercedes-Benz of Fort Lauderdale,"32,706",4.6,963 
2018 Mercedes-Benz E-Class E 300,"15,288 ",Mercedes-Benz of Columbus,"44,699",4.8,816 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"10,808 ",Mercedes-Benz of Pleasanton,"42,856",2.5,46 
2018 Mercedes-Benz E-Class E 300,"21,599 ",Mercedes-Benz of Alexandria,"47,881",4.8,989 
2018 Mercedes-Benz C-Class C 300,"18,000 ",Santa Barbara Auto Group,"48,900",4.1,36 
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"23,259 ",Mercedes-Benz of Pompano,"69,889",4.5,831 
2018 Mercedes-Benz C-Class C 300 4MATIC,"33,388 ",Feldmann Imports,"31,072",4.8,615 
2018 Mercedes-Benz C-Class C 300 4MATIC,"11,642 ",Mercedes-Benz of Hanover,"36,000",4.6,443 
2018 Mercedes-Benz E-Class E 300,"19,255 ",Mercedes-Benz of Tysons Corner,"41,995",4.4,686 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"49,908 ",Mercedes-Benz of Catonsville,"41,990",4.2,360 
2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,"11,109 ",Mercedes-Benz Of Bloomfield Hills,"58,993",4.3,89 
2019 Mercedes-Benz CLA 250 Base,"23,553 ",Fletcher Jones Motorcars,"30,892",4.8,"4,719 "
2019 Mercedes-Benz GLA 250 Base 4MATIC,"16,138 ",Mercedes-Benz of Littleton,"34,000",4.8,992 
2019 Mercedes-Benz GLE 400 Base 4MATIC,"43,747 ",Mercedes-Benz of Gainesville,"46,786",4.8,740 
2018 Mercedes-Benz GLC 300 Base 4MATIC,"35,455 ",Autohaus on Edens,"36,212",4.7,"1,454 "
2018 Mercedes-Benz GLE 350 Base 4MATIC,"47,236 ",Fletcher Jones Motorcars of Fremont,"36,388",4.9,"1,138 "
2020 Mercedes-Benz GLA 250 Base 4MATIC,"13,382 ",Mercedes-Benz of Chicago,"40,981",4.7,"1,045 "
2019 Mercedes-Benz AMG GT 53 Base,"22,361 ",Mercedes-Benz of Houston North,"94,999",4.5,"1,063 "
2018 Mercedes-Benz GLC 300 Base,"33,500 ",Mercedes-Benz of Clear Lake,"33,491",4.6,231 
2018 Mercedes-Benz C-Class C 300 4MATIC,"32,574 ",Mercedes-Benz of Houston North,"31,991",4.5,"1,063 "
2018 Mercedes-Benz AMG C 43 Base 4MATIC,"20,530 ",Mercedes-Benz of Massapequa,"47,895",4.8,"1,520 "
2018 Mercedes-Benz GLE 350 Base 4MATIC,"12,503 ",Jackie Cooper Imports,"45,000",4.9,"2,620 "
2018 Mercedes-Benz GLC 300 4MATIC,"38,569 ",Mercedes-Benz of Westwood,"36,210",4.6,536 
2018 Mercedes-Benz E-Class E 300,"15,767 ",Mercedes-Benz of Sarasota,"38,995",4.6,"1,103 "
2018 Mercedes-Benz C-Class C 300,"35,161 ",Mercedes-Benz of Atlanta Northeast,"38,542",4.9,"1,652 "
2019 Mercedes-Benz S-Class S 560,"21,670 ",Fletcher Jones Imports,"89,995",4.9,"2,032 "
2019 Mercedes-Benz GLC 300 Base 4MATIC,"18,320 ",Mercedes-Benz of Littleton,"41,599",4.8,992 
2017 Mercedes-Benz C-Class C 300,"24,592 ","Mercedes-Benz Manhattan,Inc.","35,901",4.6,427 
2018 Mercedes-Benz GLE 350 ,"45,309 ",Mercedes-Benz of Birmingham,"41,996",4.9,755 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"40,140 ",Mercedes-Benz of Easton,"42,354",4.7,644 
2018 Mercedes-Benz GLC 300 Base,"16,780 ",Mercedes-Benz of Miami,"34,995",4.6,790 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"24,500 ",Mercedes-Benz of Buckhead,"45,000",4.7,909 
2018 Mercedes-Benz C-Class C 300,"30,735 ",Mercedes-Benz of Arrowhead,"32,985",4.5,230 
2019 Mercedes-Benz GLE 400 Base 4MATIC,"39,669 ",Mercedes-Benz of Gainesville,"45,598",4.8,740 
2018 Mercedes-Benz GLS 450 4MATIC,"24,098 ",Mercedes-Benz of Birmingham,"67,659",4.9,755 
2018 Mercedes-Benz GLC 300 Base 4MATIC,"31,530 ",Mercedes-Benz of Denver,"37,998",4.5,344 
2018 Mercedes-Benz GLE 350 Base,"15,184 ",Mercedes-Benz of Scottsdale,"43,991",4.8,443 
2018 Mercedes-Benz C-Class C 300 4MATIC,"19,534 ",Mercedes-Benz of Westwood,"34,497",4.6,536 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"37,689 ",Mercedes-Benz of Catonsville,"44,990",4.2,360 
2018 Mercedes-Benz E-Class E 300,"21,594 ",Mercedes-Benz of Silver Spring,"44,900",4.8,"1,457 "
2020 Mercedes-Benz GLB 250 Base 4MATIC,"4,685 ",Mercedes-Benz Of Tacoma,"46,500",4.5,"2,532 "
2017 Mercedes-Benz S-Class S 550,"54,767 ",Fletcher Jones Imports,"59,995",4.9,"2,032 "
2018 Mercedes-Benz GLS 450 Base 4MATIC,"39,372 ",RBM of Atlanta,"59,869",4.9,997 
2018 Mercedes-Benz E-Class E 300,"12,024 ",Mercedes Benz of Atlantic City,"45,460",4.6,868 
2018 Mercedes-Benz C-Class C 300,"29,907 ",Mercedes-Benz of Arrowhead,"39,985",4.5,230 
2018 Mercedes-Benz E-Class E 300,"12,961 ",Euro Motorcars Devon,"45,549",4.7,294 
2015 Mercedes-Benz S-Class S 550 4MATIC,"31,175 ",Keenan Motors,"57,891",4.8,443 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"10,251 ",Mercedes-Benz of Wilmington,"45,900",4.6,"1,782 "
2019 Mercedes-Benz GLC 300 Base,"18,960 ",Mercedes-Benz of Plano,"40,000",4.4,986 
2019 Mercedes-Benz C-Class C 300 4MATIC,"12,748 ",Jackie Cooper Imports,"42,750",4.9,"2,620 "
2018 Mercedes-Benz GLS 450 Base 4MATIC,"44,405 ",Mercedes-Benz Of Athens,"48,846",4.7,251 
2018 Mercedes-Benz C-Class C 300 4MATIC,"37,513 ",Mercedes-Benz of Westwood,"32,699",4.6,536 
2019 Mercedes-Benz C-Class C 300,"16,471 ",Mercedes-Benz of North Scottsdale,"34,988",4.9,"1,071 "
2018 Mercedes-Benz E-Class E 400 4MATIC,"28,976 ",Mercedes Benz of Hoffman Estates,"50,499",4.7,"1,018 "
2020 Mercedes-Benz GLA 250 Base 4MATIC,"13,095 ",Motor Werks - Barrington Auto Mall,"36,987",4.8,"4,450 "
2018 Mercedes-Benz CLA 250 Base 4MATIC,"39,651 ",Mercedes-Benz of Chesterfield,"35,813",4.5,95 
2018 Mercedes-Benz C-Class C 300,"24,495 ",Fletcher Jones Motorcars of Fremont,"33,488",4.9,"1,138 "
2018 Mercedes-Benz CLA 250 Base 4MATIC,"48,379 ",Napleton Autowerks Loves Park,"29,999",4.8,796 
